*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
6.500000	465.605   	6.500000	460.187   	6.500000	460.253   	6.500000	460.253   	6.500000	3.63625   	6.500000	2.33807   	6.500000	3.70554   	6.500000	3.62449   	6.500000	3.74845   	
7.000000	524.787   	7.000000	519.213   	7.000000	519.694   	7.000000	519.694   	7.000000	4.11334   	7.000000	2.61618   	7.000000	4.14963   	7.000000	4.03438   	7.000000	4.19885   	
7.500000	586.896   	7.500000	581.17    	7.500000	582.152   	7.500000	582.152   	7.500000	4.61467   	7.500000	2.9058    	7.500000	4.61509   	7.500000	4.46155   	7.500000	4.67089   	
8.000000	651.891   	8.000000	646.001   	8.000000	647.571   	8.000000	647.571   	8.000000	5.13976   	8.000000	3.20663   	8.000000	5.10139   	8.000000	4.9055    	8.000000	5.16404   	
8.500000	719.733   	8.500000	713.654   	8.500000	715.901   	8.500000	715.901   	8.500000	5.68813   	8.500000	3.51842   	8.500000	5.60807   	8.500000	5.36578   	8.500000	5.67783   	
9.000000	790.386   	9.000000	784.081   	9.000000	787.096   	9.000000	787.096   	9.000000	6.25939   	9.000000	3.84093   	9.000000	6.13472   	9.000000	5.84199   	9.000000	6.21185   	
9.500000	863.816   	9.500000	857.238   	9.500000	861.114   	9.500000	861.114   	9.500000	6.85315   	9.500000	4.17387   	9.500000	6.68094   	9.500000	6.33377   	9.500000	6.76569   	
10.000000	939.991   	10.000000	933.066   	10.000000	937.914   	10.000000	937.914   	10.000000	7.46907   	10.000000	4.51696   	10.000000	7.24638   	10.000000	6.84077   	10.000000	7.33899   	
11.000000	1100.46   	11.000000	1091.07   	11.000000	1099.51   	11.000000	1099.51   	11.000000	8.76147   	11.000000	5.23373   	11.000000	8.42789   	11.000000	7.89739   	11.000000	8.53766   	
12.000000	1271.56   	12.000000	1258.44   	12.000000	1271.42   	12.000000	1271.39   	12.000000	10.1304   	12.000000	5.99817   	12.000000	9.67603   	12.000000	9.00764   	12.000000	9.80326   	
13.000000	1453.11   	13.000000	1435.15   	13.000000	1453.4    	13.000000	1453.34   	13.000000	11.5747   	13.000000	6.80869   	13.000000	10.9914   	13.000000	10.1657   	13.000000	11.137    	
14.000000	1644.91   	14.000000	1621.19   	14.000000	1645.23   	14.000000	1645.13   	14.000000	13.0931   	14.000000	7.66108   	14.000000	12.3718   	14.000000	11.3714   	14.000000	12.5365   	
15.000000	1846.79   	15.000000	1816.5    	15.000000	1846.72   	15.000000	1846.58   	15.000000	14.6844   	15.000000	8.55248   	15.000000	13.8154   	15.000000	12.6259   	15.000000	14.0002   	
16.000000	2058.61   	16.000000	2021.04   	16.000000	2057.71   	16.000000	2057.52   	16.000000	16.3475   	16.000000	9.48106   	16.000000	15.3208   	16.000000	13.928    	16.000000	15.5266   	
17.000000	2280.2    	17.000000	2234.74   	17.000000	2278.02   	17.000000	2277.79   	17.000000	18.0812   	17.000000	10.4454   	17.000000	16.8867   	17.000000	15.2765   	17.000000	17.1144   	
