** This file contains HiRA CsI calibrations for different Z and A isotopes.
** Each isotope has to be independently specified even if the calibration formula works for more isotopes with the same parameters.
** WARNING: calibration formulas can't contain the '*' character. Please replace it with a '.' to indicate a multiplication.
**************************************************************************************************************************************** 
 *tel    csi      Z      A          Fenhai's Formula                 NumParPar0             Par1        Par2       Par3
    9      1      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4  0.00088754  0.00699766     1.96847   2.09926
    9      1      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  0.00088754  0.00699766     1.96847   2.09926
    9      2      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4  0.00368742  0.00750451     1.93022   2.07163
    9      2      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4  0.00368742  0.00750451     1.93022   2.07163
    9      2      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  0.00368742  0.00750451     1.93022   2.07163
    9      3      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4  0.00534037  0.00785355     1.95282   2.08376
    9      3      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4  0.00534037  0.00785355     1.95282   2.08376
    9      3      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  0.00534037  0.00785355     1.95282   2.08376
   10      0      1      1                        [0]+[1].x^[2]                3  -0.0115375   0.0091602    0.919641
   10      0      1      2                        [0]+[1].x^[2]                3  -0.0127326   0.0112505    0.890282
   10      0      1      3                        [0]+[1].x^[2]                3  -0.0115866   0.0101263    0.921147
   10      1      1      1                        [0]+[1].x^[2]                3  -0.0107748  0.00956017    0.922337
   10      1      1      2                        [0]+[1].x^[2]                3  -0.0103455   0.0111542    0.901702
   10      1      1      3                        [0]+[1].x^[2]                3  -0.00677186  0.00968322    0.939426
   10      2      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4  -0.00350009  0.00909498     1.99345   2.19166
   10      2      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4  -0.00350009  0.00909498     1.99345   2.19166
   10      2      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  -0.00350009  0.00909498     1.99345   2.19166
   10      3      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4  0.00701612  0.00790273      1.6521   1.80703
   10      3      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4  0.00701612  0.00790273      1.6521   1.80703
   10      3      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  0.00701612  0.00790273      1.6521   1.80703
   11      0      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4  0.00438059   0.0076421     1.99776   2.16582
   11      0      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4  0.00438059   0.0076421     1.99776   2.16582
   11      0      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  0.00438059   0.0076421     1.99776   2.16582
** low energy is off in telescope 11 crystal 0
   11      0      1      1                        [0]+[1].x^[2]                3  -0.0163012  0.00944605    0.913951
